CustomerID,FirstName,MiddleName,LastName,Birthdate,StreetAddress,City,StateProvinceCode,CountryCode,ZipCode
90,"Pearl               ",G,"Wilton              ",1962-02-12,2436 Beeghley Street,West,TX,US,"76691     "
91,"Judy                ",G,"Berry               ",1961-06-14,1330 Webster Street,Newark,NJ,US,"07102     "
92,"Brandy              ",K,"McClelland          ",1991-01-11,3654 Seneca Drive,Forest Grove,OR,US,"97116     "
93,"Rosa                ",W,"Noll                ",1993-11-05,2943 Saint Clair Street,Memphis,MS,US,"38118     "
94,"Kenneth             ",Z,"Nilles              ",1952-07-19,1350 Joyce Street,Mobile,AL,US,"36602     "
95,"Bruce               ",M,"Bassett             ",NULL,1814 University Street,Seattle,WA,US,"98101     "
96,"Adella              ",E,"Constantine         ",1938-10-26,1534 Washington Street,Corpus Christi,TX,US,"78476     "
97,"Kala                ",NULL,"Johnson             ",1978-01-26,2849 Briercliff Road,Corona,NY,US,"11368     "
98,"Frances             ",K,"Jefferson           ",1978-06-28,3648 Leo Street,Denver,CO,US,"80202     "
99,"Jenny               ",NULL,"Moore               ",1956-07-25,3078 Allison Avenue,Norfolk,VA,US,"23510     "
100,"Janie               ",R,"Boss                ",1975-04-02,4700 Bingamon Road,Cleveland,OH,US,"44114     "
101,"Roy                 ",NULL,"Deleon              ",1951-11-25,462 Edgewood Avenue,Fresno,CA,US,"93711     "
102,"Patrick             ",M,"Goebel              ",1962-11-14,770 Barrington Court,Pine Bluff,AR,US,"71601     "
103,"Rudolph             ",NULL,"Jackson             ",1960-11-09,2211 Perine Street,Chantilly,VA,US,"22021     "
104,"Perry               ",B,"Roberts             ",1959-05-23,960 Snyder Avenue,Charlotte,NC,US,"28206     "
105,"Melinda             ",F,"Lambert             ",1975-09-09,4797 McDonald Avenue,Kissimmee,FL,US,"34741     "
106,"Linda               ",E,"Mattocks            ",NULL,4014 Elliot Avenue,Seattle,WA,US,"98101     "
107,"Mary                ",T,"Thelen              ",1981-11-22,571 Broad Street,Birmingham,AL,US,"35203     "
108,"Ramiro              ",L,"Hurt                ",1996-08-16,2410 Platinum Drive,Eau Claire,PA,US,"16030     "
109,"Abby                ",T,"Britt               ",1960-02-16,3302 Hinkle Deegan Lake Road,Syracuse,NY,US,"13224     "
110,"Micheal             ",K,"Dearing             ",1961-09-23,3394 Coburn Hollow Road,Peoria,IL,US,"61602     "
111,"John                ",N,"Olson               ",1956-09-13,234 Philadelphia Avenue,Orem,UT,US,"84058     "
112,"Vivian              ",M,"Cortez              ",1964-05-07,3923 Hemlock Lane,Harlingen,TX,US,"78550     "
113,"Claudia             ",D,"Melton              ",1963-09-26,4976 Hilltop Street,Springfield,MA,US,"01109     "
114,"John                ",NULL,"Pitre               ",1855-09-28,3497 Jett Lane,Los Angeles,CA,US,"90017     "
115,"Alfred              ",K,"Bradley             ",1951-11-09,514 Emily Drive,Columbia,SC,US,"29201     "
116,"Jack                ",NULL,"Stein               ",1947-02-25,3448 Poplar Street,Cicero,IL,US,"60650     "
117,"Edwin               ",L,"Houston             ",1970-04-14,2786 Late Avenue,Oklahoma City,OK,US,"73102     "
118,"Carroll             ",P,"Frazier             ",1996-03-02,2355 Farland Street,Chicago,IL,US,"60631     "
119,"Karen               ",N,"Locke               ",1963-03-31,3359 Cherry Camp Road,Westchester,IL,US,"60154     "
120,"James               ",D,"Hunter              ",1939-11-27,2634 Cost Avenue,College Park,MD,US,"20741     "
121,"Keiko               ",J,"Hanson              ",1971-07-16,4089 Echo Lane,Grand Rapids,MI,US,"49503     "
122,"Michael             ",M,"Flowers             ",1953-09-14,4097 Broadway Avenue,Bristol,TN,US,"37620     "
123,"Ben                 ",S,"Scott               ",1966-09-04,1626 Bottom Lane,Buffalo,NY,US,"14220     "
124,"Bobby               ",NULL,"Reed                ",1936-07-16,3182 Poplar Lane,Miami,FL,US,"33012     "
125,"Mayra               ",B,"Lott                ",1992-01-17,4707 Point Street,Chicago,IL,US,"60605     "
126,"Pedro               ",M,"Wells               ",1983-12-21,1859 Tenmile,Parksley,VA,US,"23421     "
127,"Ricky               ",NULL,"Mondragon           ",1995-07-05,2332 Fairway Drive,Fairfield,CA,US,"94533     "
128,"Mark                ",E,"Tate                ",1978-05-19,4601 Capitol Avenue,West Point,IN,US,"47992     "
129,"Earl                ",L,"Lopez               ",1850-06-16,1019 Richison Drive,Forsyth,MT,US,"59327     "
130,"Gerald              ",L,"Gould               ",1943-02-28,4317 Charack Road,Wheatland,IN,US,"47597     "
131,"Karl                ",NULL,"Ochs                ",1978-04-04,4303 Fleming Way,Richmond,VA,US,"23219     "
132,"Lawrence            ",NULL,"Lawson              ",1948-10-29,1020 Waterview Lane,Ruidoso,NM,US,"88345     "
133,"Marshall            ",P,"Robertson           ",1971-03-23,3160 Mahlon Street,Southfield,MI,US,"48075     "
134,"Denise              ",M,"Jordan              ",1978-07-03,3993 Parker Drive,Warrensville Heights,OH,US,"44128     "
135,"Felix               ",A,"Hines               ",1949-12-31,313 Christie Way,Leominster,MA,US,"01453     "
136,"Bonnie              ",E,"Rodgers             ",1868-07-05,4464 College Avenue,Seaman,OH,US,"45679     "
137,"Betty               ",D,"Parker              ",1939-12-04,1327 Monroe Avenue,Fort Myers,FL,US,"33901     "
138,"James               ",T,"Contreras           ",1965-07-23,2086 Oakridge Farm Lane,Milwaukee,WI,US,"53212     "
139,"Wade                ",B,"Pulido              ",NULL,4174 Farm Meadow Drive,Dewey,AZ,US,"86327     "
140,"Efren               ",A,"Beaudry             ",1949-09-25,3116 Strother Street,Alabaster,AL,US,"35007     "
141,"Lance               ",A,"Erickson            ",1956-11-16,2965 Tecumsah Lane,Coushatta,LA,US,"71019     "
142,"Christina           ",D,"Coronado            ",1970-05-12,4746 Bottom Lane,Buffalo,NY,US,"14202     "
143,"Wilma               ",A,"Valentine           ",1936-07-31,1337 Willow Oaks Lane,Lafayette,LA,US,"70506     "
144,"Lou                 ",K,"Raymond             ",1953-02-07,3755 Fairmont Avenue,Marceline,MO,US,"64658     "
145,"Simone              ",G,"Till                ",1938-01-25,2337 Palmer Road,Westerville,OH,US,"43081     "
146,"Shirley             ",NULL,"Caldwell            ",1938-09-04,1043 Roosevelt Street,San Francisco,CA,US,"94107     "
147,"Sylvia              ",NULL,"Carl                ",1989-08-08,2230 Woodstock Drive,Los Angeles,CA,US,"90017     "
148,"Evan                ",B,"Charles             ",1960-10-10,4929 Hickory Street,Orem,UT,US,"84058     "
149,"Francis             ",NULL,"Jackson             ",1981-04-14,472 Brooke Street,Houston,TX,US,"77040     "
150,"Mike                ",B,"Orr                 ",1990-09-09,1515 Pinnickinnick Street,Keansburg,NJ,US,"07734     "
151,"Tina                ",J,"Gudino              ",1956-03-05,1934 Romrog Way,Grant,NE,US,"69140     "
152,"Neva                ",M,"Galan               ",1990-03-12,3857 Oakmound Drive,Chicago,IL,US,"60661     "
153,"Debra               ",C,"Weller              ",1966-06-10,3519 Deercove Drive,Philadelphia,PA,US,"19104     "
154,"Melissa             ",NULL,"Shaw                ",1952-05-16,2642 Birch Street,Indianapolis,IN,US,"46225     "
155,"Brenda              ",J,"Lumpkin             ",1976-08-22,28 Irving Road,Mansfield,OH,US,"44902     "
156,"Bertha              ",L,"Knott               ",1995-04-24,280 Steele Street,Naperville,IL,US,"60540     "
157,"Jean                ",NULL,"Jackson             ",1987-03-31,1310 Scheuvront Drive,Centennial,CO,US,"80112     "
158,"Peggy               ",B,"Gardiner            ",1845-03-17,4895 Smith Street,Boston,MA,US,"02110     "
159,"Maria               ",G,"Ramsey              ",1975-10-29,2603 Douglas Dairy Road,Bristol,VA,US,"24202     "
160,"Debbie              ",R,"Dowdy               ",1993-10-17,4145 Burton Avenue,Memphis,TN,US,"38106     "
161,"Marcia              ",M,"Miller              ",1975-06-11,769 Irving Road,Ironton,OH,US,"45638     "
162,"Jimmy               ",NULL,"Coleman             ",NULL,4896 Broadway Street,Hilton Head,SC,US,"29928     "
163,"Esmeralda           ",M,"Carson              ",1968-01-29,3216 Vineyard Drive,Cleveland,OH,US,"44114     "
164,"Wilda               ",G,"White               ",1995-11-28,2131 Highland Drive,Sturgeon Bay,WI,US,"54235     "
165,"Michael             ",H,"Noah                ",1975-05-27,1363 Fleming Street,Montgomery,AL,US,"36104     "
166,"Lyndsay             ",K,"Olson               ",1867-11-24,799 Ryan Road,Revillo,SD,US,"57259     "
167,"Alton               ",J,"Kruse               ",1941-09-04,1035 White Avenue,Corpus Christi,TX,US,"78401     "
168,"Sabrina             ",NULL,"Willis              ",1972-05-15,2003 West Virginia Avenue,Albany,NY,US,"12204     "
169,"Donna               ",NULL,"Moses               ",1858-04-01,352 Ruckman Road,Oklahoma City,OK,US,"73060     "
170,"Matthew             ",K,"Price               ",1951-04-06,265 Baker Avenue,Arlington,TX,US,"76010     "
171,"Allison             ",NULL,"Fagan               ",1939-10-19,1340 Sycamore Lake Road,Appleton,WI,US,"54913     "
172,"Christina           ",B,"Fox                 ",1850-04-20,2681 Hillcrest Avenue,Boston,MA,US,"02110     "
173,"Catherine           ",R,"Stevenson           ",1940-08-05,434 Elk Avenue,Okemos,MI,US,"48864     "
174,"Lisa                ",M,"George              ",1989-01-14,821 Parkview Drive,Houston,TX,US,"77002     "
175,"Iris                ",NULL,"Fischer             ",NULL,1718 Tator Patch Road,Bridgeview,IL,US,"60455     "
176,"Armand              ",NULL,"Hart                ",1978-06-29,4777 Havanna Street,Greensboro,*M,US,"27401     "
177,"Margaret            ",NULL,"Barstow             ",1967-11-13,920 Pride Avenue,New York,NY,US,"10004     "
178,"Richard             ",J,"Parks               ",1979-11-08,2487 Laurel Lane,Grandfalls,TX,US,"79742     "
179,"Shane               ",J,"Brown               ",1968-01-10,2963 Round Table Drive,Hamilton,OH,US,"45011     "
180,"Ethel               ",A,"Johnson             ",1955-02-06,3078 Cecil Street,Chicago,IL,US,"60605     "
181,"Nora                ",D,"White               ",1945-03-30,372 Sardis Sta,Fort Worth,TX,US,"76147     "
182,"Jacqueline          ",NULL,"Guizar              ",1980-08-31,156 Hall Street,Las Vegas,NV,US,"89101     "
183,"Alva                ",NULL,"Ralston             ",1975-05-20,39 Linden Avenue,Orlando,FL,US,"32805     "
184,"Warren              ",B,"Obrien              ",1937-10-31,814 Briarwood Drive,Merchantville,NJ,US,"08109     "
185,"Helga               ",B,"May                 ",1951-04-12,3133 Broadway Avenue,Chattanooga,TN,US,"37403     "
186,"Max                 ",T,"Walters             ",1964-08-24,997 Raccoon Run,Seattle,WA,US,"98109     "
187,"John                ",V,"Valentine           ",1980-12-26,3756 Philli Lane,Coweta,OK,US,"74429     "
188,"Jeffrey             ",NULL,"Morgan              ",1978-09-21,3122 Karen Lane,Louisville,KY,US,"40207     "
189,"Juanita             ",J,"Klein               ",1972-04-01,2230 Honeysuckle Lane,Ashford,WA,US,"98304     "
190,"Julius              ",NULL,"Gordon              ",1972-12-07,4123 Todds Lane,San Antonio,TX,US,"78213     "
191,"Thurman             ",F,"Marshall            ",1979-12-15,3390 Wiseman Street,Knoxville,TN,US,"37921     "
192,"Brent               ",G,"Francis             ",1986-05-04,489 Parker Drive,Warrensville Heights,OH,US,"44128     "
193,"Susan               ",R,"Whitney             ",1977-06-05,2148 Martha Ellen Drive,Reno,NV,US,"89501     "
194,"Dennis              ",NULL,"Kaufman             ",1945-01-29,2939 Queens Lane,Danville,VA,US,"24541     "
195,"Dorothy             ",K,"Moriarty            ",NULL,1694 Monroe Street,Houston,TX,US,"77002     "
196,"Justin              ",K,"Combs               ",1962-02-17,955 Callison Lane,Philadelphia,*M,US,"19107     "
197,"Jason               ",J,"Harrison            ",1955-06-04,1998 Pine Garden Lane,Atlanta,GA,US,"30339     "
198,"Mark                ",P,"Picou               ",1950-10-17,1180 Sand Fork Road,Kewanna,IN,US,"46939     "
199,"Florence            ",R,"Millan              ",1973-04-03,974 Willow Oaks Lane,Lafayette,LA,US,"70506     "
200,"Karen               ",T,"Cooper              ",1993-09-09,2159 Juniper Drive,Saginaw,MI,US,"48607     "
201,"Allen               ",D,"Tolman              ",1946-04-02,2715 Catherine Drive,Jamestown,ND,US,"58401     "
202,"Veronica            ",V,"Lozano              ",1957-06-07,2336 Clearview Drive,Denver,CO,US,"80202     "
203,"Judith              ",C,"Barela              ",1955-02-24,381 Burning Memory Lane,Morrisville,PA,US,"19067     "
204,"Olga                ",NULL,"Parker              ",1947-07-09,3982 State Street,Saint Louis,MO,US,"63101     "
205,"Maria               ",J,"Griggs              ",1949-02-04,520 Howard Street,Grand Rapids,*M,US,"49503     "
206,"Deborah             ",E,"Manzo               ",1981-04-08,357 Bingamon Branch Road,Chicago,IL,US,"60605     "
207,"Greg                ",NULL,"Allen               ",1966-07-30,1167 Jarvisville Road,Hicksville,NY,US,"11801     "
208,"Pedro               ",B,"Naylor              ",1968-05-19,3734 Perry Street,Flint,MI,US,"48548     "
209,"Robert              ",T,"Durbin              ",1960-01-28,4629 Raccoon Run,Seattle,WA,US,"98122     "
210,"Cynthia             ",R,"Osterberg           ",1978-07-07,2634 Carter Street,Fairview Heights,IL,US,"62208     "
211,"Ann                 ",J,"Roberts             ",1968-04-24,2964 Browning Lane,Binghamton,NY,US,"13901     "
212,"Cecilia             ",L,"Holst               ",1968-07-15,436 Briercliff Road,New York,NY,US,"10011     "
213,"Margaret            ",NULL,"Leonard             ",1999-03-10,2804 Davis Court,Birds,IL,US,"62415     "
214,"Joseph              ",D,"Johnston            ",1995-07-04,760 Hillside Drive,Cambridge,MA,US,"02141     "
215,"Ricky               ",J,"Garner              ",1977-07-18,2198 Bassell Avenue,Wichita,AR,US,"67202     "
216,"Margaret            ",S,"Blakley             ",1957-07-21,4987 Lake Forest Drive,New York,NY,US,"10011     "
217,"Jo                  ",J,"Waller              ",1995-07-09,539 Big Elm,Overland Park,MO,US,"64110     "
218,"Francis             ",J,"Wolf                ",1962-04-02,4470 Jewell Road,Minneapolis,MN,US,"55404     "
219,"Marcus              ",S,"Shifflett           ",1942-09-04,135 Hanover Street,New York,NY,US,"10007     "
220,"Jamie               ",D,"Middleton           ",1977-12-25,2982 Palmer Road,Worthington,OH,US,"43085     "
221,"Herman              ",M,"Okeefe              ",1964-07-25,1530 White River Way,West Valley City,UT,US,"84120     "
222,"Norma               ",S,"Valdez              ",1986-06-06,697 Dennison Street,Modesto,CA,US,"95351     "
223,"Janet               ",S,"Nelson              ",1987-06-28,225 Poplar Lane,Miami,FL,US,"33169     "
224,"Tammy               ",T,"Vickery             ",1984-09-22,135 Farland Street,Chicago,IL,US,"60605     "
225,"Richard             ",H,"Gaitan              ",1955-05-01,4331 Wescam Court,Reno,NV,US,"89502     "
226,"Mary                ",D,"Watts               ",1942-10-11,494 Sunrise Road,Las Vegas,NV,US,"89109     "
227,"Dominique           ",G,"Adams               ",1950-04-14,2255 Clover Drive,Fountain,CO,US,"80817     "
228,"Joyce               ",B,"Feliz               ",1952-04-24,2779 Jerry Dove Drive,Daniel Island,SC,US,"29492     "
229,"Guadalupe           ",L,"Payne               ",1951-02-15,2550 Despard Street,Atlanta,GA,US,"30303     "
230,"Fidel               ",C,"Miller              ",1946-03-31,3295 Airplane Avenue,Montville,CT,US,"06353     "
231,"Laurie              ",NULL,"Tam                 ",1978-08-13,4532 Commerce Boulevard,Omaha,NE,US,"68114     "
232,"Emily               ",NULL,"Archer              ",1994-10-09,2575 Glen Street,Elizabethtown,KY,US,"42701     "
233,"Sally               ",R,"Jones               ",NULL,1038 Java Lane,Columbia,SC,US,"29201     "
234,"Bettye              ",J,"Becnel              ",1964-01-28,4995 Alpaca Way,Santa Ana,CA,US,"92705     "
235,"Jody                ",NULL,"Faul                ",1973-05-09,2479 Clousson Road,Webb,IA,US,"51336     "
236,"Gloria              ",R,"White               ",1994-12-11,3145 Garrett Street,Philadelphia,PA,US,"19108     "
237,"Naomi               ",NULL,"Cherry              ",1967-08-19,2287 Deercove Drive,Philadelphia,PA,US,"19126     "
238,"Patricia            ",W,"Spillers            ",1966-09-01,114 McKinley Avenue,Centennial,CO,US,"80111     "
239,"Arlene              ",C,"Andrews             ",1948-04-30,1660 Roguski Road,Monroe,LA,US,"71201     "
240,"Elinor              ",NULL,"Jimenez             ",1987-03-20,1590 Harley Brook Lane,State College,PA,US,"16801     "
241,"John                ",W,"Beal                ",1942-05-13,424 Walnut Avenue,Rochelle Park,NJ,US,"07662     "
242,"Samuel              ",B,"Collins             ",1959-12-02,4443 Douglas Dairy Road,Richlands,VA,US,"24641     "
243,"Roy                 ",R,"Johnson             ",1942-05-08,1878 Quiet Valley Lane,Burbank,CA,US,"91502     "
244,"Joseph              ",NULL,"Jordan              ",1944-07-19,75 Winifred Way,Marion,IN,US,"46953     "
245,"Leslie              ",NULL,"Ridley              ",1963-01-06,2862 Carson Street,San Diego,CA,US,"92121     "
246,"Jean                ",C,"Brown               ",1977-09-06,4404 Goldleaf Lane,Wyckoff,NJ,US,"07481     "
247,"Emily               ",NULL,"Mason               ",1959-11-20,963 Leo Street,Pittsburgh,PA,US,"15203     "
248,"Kristin             ",L,"Moe                 ",1961-04-04,2202 Lords Way,Gibson,TN,US,"38338     "
249,"John                ",L,"Mayo                ",1969-11-30,658 Johnstown Road,Elgin,IL,US,"60120     "
250,"Cory                ",L,"Knight              ",1953-02-20,1015 Terra Cotta Street,Fairmount,MN,US,"58030     "
251,"Deandre             ",NULL,"Wilson              ",1973-01-21,4067 Patterson Street,Houston,TX,US,"77002     "
252,"Victor              ",NULL,"Carroll             ",1983-04-24,1499 Java Lane,Allendale,SC,US,"29810     "
253,"Patricia            ",R,"Slayton             ",1980-02-26,4441 Massachusetts Avenue,Adelphi,DC,US,"20783     "
254,"Evelyn              ",NULL,"Crayton             ",1984-09-12,676 Quincy Street,Eagleville,PA,US,"19403     "
255,"Alfredo             ",D,"Abraham             ",1961-11-07,2464 Thrash Trail,Big Sandy,TX,US,"75755     "
